Name,X,Y,Group,Gender,Year of Birth,Grade
Victor Anderson,627,705,2,Female,2000,6
Jack Scott,808,643,1,Male,2002,4
Sean Robinson,624,627,1,Male,2002,4
William Rodriguez,423,396,1,Female,2004,2
Aaron Kelly,775,181,0,Female,2005,1
Raymond Taylor,433,731,1,Female,2000,1
Alan Foster,635,580,2,Male,2002,4
Charles Watson,884,262,0,Female,2003,3
Lillian Perez,334,190,4,Male,2005,1
Betty Moore,727,524,1,Female,2003,3
Bruce Adams,503,684,0,Male,2001,2
Kathryn Sanchez,284,246,0,Male,2001,2
Chris Hall,189,223,3,Male,2000,6
Eugene Harris,196,220,3,Female,2000,5
Gary Baker,707,559,0,Female,2001,5
Michael Ramirez,299,657,2,Male,2000,1
Walter Smith,400,755,0,Male,2005,5
Ann Murphy,0,895,1,Male,2003,3
Lois Thompson,783,631,1,Female,2003,2
Louis Jones,674,589,1,Female,2003,3
Tammy Bell,828,263,3,Male,2002,4
Carolyn Bailey,557,23,4,Male,2004,2
Larry Campbell,444,627,2,Female,2004,2
